GENDER,REFERRING_PROVIDER_REGION,DISEASE_CODE,RECEIVING_PROVIDER_REGION,AGE_GROUP,TOTAL_REFERRALS
F,Jouf,S82.21,Riyadh,00-17,31
M,Jeddah,E87.1,Jeddah,50-59,21
M,Qassim,L89.21,Qassim,40-49,2
F,Qassim,R05,Qassim,30-39,3
F,Medinah,O64.1,Medina,30-39,6
M,Medinah,I64,Medina,50-59,1
M,Jeddah,E07.9,Jeddah,30-39,1
M,Bisha,K92.9,Jeddah,40-49,21
F,Riyadh,L03.19,Riyadh,50-59,64
F,Qunfotha,S72.00,Makkah,70-79,6
F,Jazan,R65.1,Jazan,00-17,2
M,Hassa,U80.4,Ihsaa,00-17,1
F,Riyadh,R57.2,Riyadh,40-49,1
F,Jeddah,S06.03,Jeddah,60-69,45
F,Asir,J18.8,Assir,00-17,7
F,Najran,R11,Najran,00-17,10
F,Jazan,A41.9,Jazan,60-69,4
M,Jeddah,R57.9,Jeddah,60-69,23
M,Asir,S65.5,Assir,00-17,7
M,Jeddah,G41.9,Makkah,50-59,1
F,Medinah,K72.9,Medina,18-29,6
F,Jeddah,E13.15,Makkah,00-17,2
F,Jeddah,O43.1,Jeddah,18-29,19
F,Medinah,J96.01,Medinah,70-79,1
F,Jeddah,E87.1,Makkah,80+,1
M,Makkah,U80.3,Makkah,40-49,6
F,Eastern Region,A41.9,East,00-17,17
M,Jeddah,V09.9,Makkah,60-69,1
M,Jazan,S06.8,Jazan,18-29,1
M,Jeddah,X40,Jeddah,30-39,21
M,Makkah,F20.9,Makkah,30-39,6
F,Asir,K86.1,Assir,40-49,7
M,Jouf,S72.9,Riyadh,30-39,31
F,Medinah,R57.0,Medinah,80+,1
M,Makkah,V99,Makkah,18-29,12
M,Riyadh,M76.1,Riyadh,60-69,31
M,Qunfotha,Z50.9,Riyadh,50-59,1
M,Bisha,V99,Riyadh,18-29,61
M,Riyadh,G40.60,Riyadh,00-17,94
M,Medinah,B05.9,Medina,00-17,12
M,Jazan,A77.8,Jazan,00-17,2
F,Jeddah,I10,Makkah,80+,1
M,Hafer AlBatin,Z50.9,Riyadh,60-69,3
M,Jeddah,U80.3,Jeddah,40-49,19
F,Jazan,Z50.9,Jeddah,00-17,1
F,Jeddah,A41.9,Makkah,40-49,1
M,Riyadh,D69.4,Riyadh,18-29,31
F,Jeddah,G41.9,Jeddah,00-17,20
M,Jazan,Z50.8,Jeddah,00-17,1
M,Jeddah,S82.21,Jeddah,40-49,39
F,Makkah,V24.00,Makkah,00-17,6
F,Jeddah,R42,Jeddah,70-79,19
M,Eastern Region,R57.9,East,50-59,17
F,Eastern Region,Z50.9,East,18-29,2
M,Asir,S72.9,Assir,60-69,6
F,Jeddah,S22.43,Jeddah,60-69,20
M,Jeddah,D57.1,Makkah,00-17,1
M,Riyadh,U80.3,Riyadh,30-39,33
F,Jeddah,J96.01,Makkah,00-17,1
M,Jeddah,N17.1,Jeddah,30-39,1
M,Northern Borders,K92.9,Riyadh,80+,30
M,Riyadh,U82.3,Riyadh,50-59,61
F,Asir,N17.9,Assir,30-39,13
F,Asir,I24.9,Assir,40-49,6
M,Riyadh,S42.23,Riyadh,18-29,31
F,Jazan,K76.9,Jazan,60-69,2
M,Bisha,I61.3,Riyadh,70-79,1
M,Medinah,J06.9,Medinah,00-17,1
F,Medinah,J20.9,Medina,00-17,106
M,Bisha,I64,Assir,70-79,6
M,Makkah,R52.9,Makkah,40-49,1
F,Jeddah,I64,Jeddah,80+,278
F,Jeddah,R05,Jeddah,50-59,64
F,Riyadh,R30.0,Riyadh,80+,33
M,Jeddah,D57.1,Jeddah,18-29,19
M,Medinah,J21.9,Medina,00-17,221
M,Jeddah,S09.9,Jeddah,18-29,68
F,Qassim,I42.0,Qassim,50-59,2
M,Makkah,R57.2,Makkah,80+,12
M,Jazan,G03.9,Jazan,00-17,4
F,Medinah,O09.9,Medina,18-29,80
M,Medinah,I24.9,Medina,60-69,6
M,Bisha,J18.0,Assir,00-17,14
M,Makkah,K92.2,Makkah,80+,6
F,Jeddah,S85.1,Makkah,18-29,1
F,Qassim,E13.12,Qassim,30-39,2
M,Makkah,J96.09,Makkah,60-69,12
M,Jeddah,I61.9,Makkah,50-59,1
F,Jeddah,I24.9,Makkah,50-59,4
F,Qassim,J45.8,Qassim,60-69,3
F,Asir,J12.8,Assir,00-17,7
M,Makkah,J18.9,Makkah,00-17,72
F,Jazan,A41.8,Jazan,60-69,2
F,Jeddah,S70.88,Makkah,40-49,1
F,Jeddah,N17.9,Makkah,50-59,1
M,Jeddah,R57.2,Jeddah,40-49,19
F,Riyadh,A41.9,Riyadh,30-39,126
F,Jeddah,E10.11,Jeddah,30-39,22
M,Jeddah,I26.9,Makkah,50-59,2
M,Riyadh,S72.11,Riyadh,50-59,30
F,Riyadh,A09.9,Riyadh,30-39,32
F,Riyadh,D59.9,Riyadh,00-17,40
M,Makkah,S06.03,Makkah,50-59,7
F,Jeddah,P07.32,Jeddah,30-39,80
M,Riyadh,J46,Riyadh,50-59,33
F,Jeddah,O00.0,Jeddah,18-29,128
M,Medinah,J46,Medina,00-17,13
M,Asir,R57.2,Assir,70-79,7
F,Jeddah,S72.05,Makkah,00-17,1
M,Riyadh,T78.2,Riyadh,00-17,30
F,Asir,S63.10,Assir,00-17,13
F,Riyadh,G93.9,Riyadh,18-29,63
M,Jouf,G40.60,Riyadh,70-79,31
M,Riyadh,I61.9,Riyadh,80+,61
F,Riyadh,U82.3,Riyadh,40-49,30
F,Riyadh,O00.0,Riyadh,30-39,366
F,Asir,I69.4,Assir,80+,7
F,Jeddah,S72.9,Makkah,60-69,1
F,Jouf,J18.9,Qassim,00-17,2
M,Jeddah,A41.8,Jeddah,50-59,40
M,Jeddah,N17.9,Jeddah,50-59,66
F,Medinah,E20.9,Medina,30-39,6
F,Jeddah,R05,Makkah,50-59,3
F,Jeddah,I64,Jeddah,70-79,209
M,Jeddah,J21.9,Makkah,00-17,6
M,Medinah,R51,Medina,30-39,5
M,Jeddah,R42,Jeddah,60-69,21
F,Qassim,R05,Qassim,60-69,25
F,Jeddah,J45.9,Jeddah,00-17,163
M,Jeddah,R05,Makkah,18-29,12
F,Qassim,R10.0,Qassim,18-29,4
F,Makkah,R05,Makkah,18-29,12
M,Qassim,I64,Qassim,80+,7
M,Jeddah,I70.1,Jeddah,40-49,40
M,Jazan,S82.40,Jazan,00-17,2
F,Asir,I24.9,Assir,18-29,6
M,Jeddah,I24.9,Jeddah,50-59,337
F,Riyadh,J96.09,Riyadh,00-17,31
F,Asir,J18.9,Assir,70-79,32
M,Jeddah,I64,Jeddah,80+,204
M,Makkah,I98.3,Makkah,60-69,6
M,Riyadh,A18.2,Riyadh,00-17,30
F,Jeddah,E11.11,Jeddah,70-79,64
F,Northern Borders,Z50.9,Riyadh,00-17,7
F,Asir,G40.60,Assir,80+,6
M,Riyadh,R57.8,Riyadh,60-69,31
F,Jeddah,Z51.9,Jeddah,30-39,20
F,Riyadh,H70.1,Riyadh,80+,30
M,Riyadh,E11.11,Riyadh,40-49,92
M,Makkah,S32.4,Makkah,18-29,6
M,Qassim,I24.9,Qassim,80+,3
M,Qassim,K92.2,Qassim,18-29,7
F,Riyadh,N39.9,Riyadh,30-39,31
F,Makkah,I61.5,Makkah,60-69,6
F,Bisha,I46.9,Jeddah,30-39,21
F,Tabuk,V99,Medina,50-59,7
M,Riyadh,S06.03,Riyadh,00-17,31
M,Riyadh,K29.1,Riyadh,18-29,64
M,Jeddah,S06.01,Makkah,80+,1
M,Riyadh,S76.1,Riyadh,60-69,35
F,Riyadh,E11.11,Riyadh,80+,500
M,Qassim,I46.0,Qassim,70-79,2
M,Asir,K75.4,Assir,00-17,6
F,Jeddah,O00.0,Makkah,40-49,7
M,Jeddah,I25.4,Jeddah,50-59,19
M,Qassim,J18.9,Qassim,80+,25
M,Hail,I51.9,Riyadh,00-17,31
F,Riyadh,A41.9,Riyadh,00-17,156
F,Jeddah,G25.1,Jeddah,00-17,23
F,Jeddah,A41.8,Jeddah,60-69,21
F,Jeddah,J18.9,Makkah,40-49,1
F,Jeddah,O64.3,Jeddah,30-39,20
F,Jeddah,E13.15,Jeddah,40-49,39
M,Riyadh,I26.9,Riyadh,00-17,31
F,Medinah,P22.0,Medina,00-17,12
M,Asir,J15.9,Assir,00-17,13
F,Makkah,F20.8,Makkah,40-49,6
M,Jeddah,E13.15,Makkah,00-17,4
M,Medinah,J18.9,Medina,60-69,18
M,Taif,P59.9,Makkah,00-17,1
F,Qurayyat,I42.9,Riyadh,50-59,29
F,Jeddah,J18.9,Jeddah,50-59,42
F,Riyadh,J18.0,Riyadh,80+,96
M,Jeddah,E11.11,Makkah,80+,2
M,Asir,S83.10,Assir,60-69,2
M,Qassim,E13.15,Qassim,60-69,2
M,Jazan,J45.9,Jazan,40-49,2
M,Riyadh,R06.6,Riyadh,40-49,33
M,Qunfotha,I98.3,Makkah,80+,6
F,Asir,G41.9,Assir,60-69,1
M,Asir,S42.42,Assir,00-17,6
F,Medinah,L03.8,Medinah,00-17,1
M,Makkah,I46.9,Makkah,70-79,6
M,Eastern Region,S62.63,East,00-17,18
M,Jeddah,J21.1,Makkah,00-17,1
M,Asir,P36.4,Assir,00-17,6
F,Asir,R05,Assir,60-69,6
M,Medinah,Z50.9,Riyadh,30-39,7
M,Taif,S82.38,Taef,00-17,2
M,Qassim,U82.3,Qassim,18-29,2
M,Eastern Region,G40.60,East,50-59,17
M,Asir,Z50.9,Riyadh,30-39,4
M,Makkah,M07.15,Makkah,18-29,5
M,Makkah,S52.31,Makkah,30-39,6
M,Jeddah,J18.9,Jeddah,40-49,85
M,Riyadh,I50.9,Riyadh,70-79,32
F,Riyadh,R47.0,Riyadh,50-59,31
F,Makkah,E87.1,Makkah,70-79,6
M,Jeddah,J44.9,Makkah,40-49,1
F,Eastern Region,J18.9,East,30-39,18
M,Makkah,R60.9,Makkah,80+,6
F,Riyadh,Z38.1,Riyadh,00-17,30
M,Riyadh,V99,Hail,18-29,2
F,Riyadh,K76.9,Riyadh,80+,3
M,Makkah,I74.8,Makkah,60-69,6
M,Makkah,J12.8,Makkah,00-17,6
M,Riyadh,U86.2,Riyadh,18-29,1
M,Medinah,P36.0,Medina,00-17,6
M,Eastern Region,P07.31,East,00-17,35
M,Jeddah,J44.1,Jeddah,18-29,22
M,Hail,S42.21,Hail,40-49,2
F,Riyadh,G35,Riyadh,30-39,2
M,Qunfotha,A93.8,Makkah,00-17,6
F,Tabuk,T22.02,Riyadh,00-17,33
F,Riyadh,S14.3,Riyadh,00-17,1
M,Asir,O75.0,Assir,00-17,1
M,Medinah,T24.0,Medinah,60-69,1
F,Jeddah,R57.1,Makkah,80+,1
M,Qunfotha,S32.4,Makkah,30-39,6
M,Riyadh,R10.0,Riyadh,50-59,32
F,Riyadh,G82.02,Riyadh,30-39,32
M,Najran,I64,Najran,00-17,4
F,Jeddah,J45.9,Makkah,00-17,8
F,Jeddah,R52.0,Jeddah,18-29,22
F,Jeddah,R00.2,Jeddah,50-59,20
M,Jeddah,J45.9,Jeddah,00-17,222
F,Qassim,I64,Qassim,70-79,8
M,Jeddah,I64,Jeddah,00-17,21
M,Riyadh,M25.57,East,30-39,1
F,Riyadh,R07.3,Riyadh,60-69,34
F,Jeddah,R00.2,Makkah,50-59,1
M,Jeddah,N39.0,Makkah,18-29,1
F,Jazan,I64,Jazan,70-79,2
M,Qassim,J80,Qassim,18-29,3
F,Makkah,S72.11,Makkah,70-79,6
F,Qassim,R65.1,Qassim,60-69,2
M,Asir,G40.60,Assir,70-79,6
M,Riyadh,J39.2,Riyadh,50-59,35
F,Asir,L89.90,Assir,80+,8
F,Riyadh,J18.0,Riyadh,00-17,322
F,Tabuk,P07.32,Makkah,00-17,2
M,Medinah,I69.4,Medina,70-79,6
M,Jeddah,I21.9,Makkah,60-69,13
F,Riyadh,J18.9,Riyadh,00-17,832
F,Medinah,I24.9,Medina,60-69,14
F,Qassim,I24.9,Qassim,70-79,8
F,Makkah,I51.9,Makkah,70-79,18
M,Makkah,I24.9,Makkah,40-49,12
M,Jeddah,A41.9,Jeddah,40-49,38
M,Riyadh,B40.0,Assir,30-39,5
F,Medinah,Q78.2,Medina,00-17,6
M,Qunfotha,V99,Makkah,18-29,18
F,Jeddah,A25.9,Makkah,00-17,1
M,Jeddah,J81,Jeddah,30-39,26
M,Medinah,I51.9,Makkah,60-69,1
F,Jeddah,U82.3,Jeddah,80+,87
M,Qassim,I26.0,Qassim,50-59,3
F,Najran,P24.3,Najran,00-17,3
F,Jeddah,R57.1,Makkah,00-17,1
F,Jazan,J81,Jazan,70-79,2
M,Jeddah,A41.9,Makkah,60-69,3
F,Makkah,K85.1,Makkah,60-69,6
F,Medinah,O61.0,Medina,18-29,6
F,Riyadh,P02.2,Riyadh,30-39,31
M,Asir,I24.9,Assir,40-49,20
M,Najran,R07.1,Assir,00-17,6
M,Jeddah,I24.9,Makkah,70-79,8
F,Jeddah,N17.9,Makkah,60-69,1
M,Riyadh,H60.0,Riyadh,40-49,29
F,Makkah,A41.8,Makkah,70-79,6
F,Jeddah,J96.09,Jeddah,70-79,25
F,Jouf,I62.0,Riyadh,80+,32
M,Riyadh,J46,Riyadh,00-17,32
F,Riyadh,J12.8,Riyadh,00-17,32
M,Makkah,C67.9,Jeddah,70-79,21
M,Riyadh,H60.8,Riyadh,00-17,37
M,Jeddah,S06.01,Jeddah,80+,22
F,Jeddah,I74.4,Makkah,50-59,1
M,Jeddah,E11.11,Makkah,00-17,5
M,Jeddah,P22.9,Jeddah,00-17,23
F,Outside-KSA,J96.01,Jeddah,00-17,20
F,Jeddah,I62.9,Jeddah,40-49,19
M,Riyadh,K52.2,Riyadh,18-29,33
M,Riyadh,Z50.8,Riyadh,18-29,6
M,Jeddah,I61.9,Jeddah,50-59,22
M,Qassim,J15.9,Qassim,60-69,4
M,Makkah,R57.8,Makkah,70-79,6
F,Riyadh,V99,Riyadh,18-29,64
F,Riyadh,O66.4,Riyadh,30-39,32
M,Riyadh,N17.9,Riyadh,00-17,91
F,Jeddah,P22.9,Makkah,18-29,2
M,Hafer AlBatin,J46,Hafer Albatin,00-17,2
M,Jeddah,D71,Jeddah,50-59,20
M,Jeddah,V99,Jeddah,60-69,22
F,Jeddah,E13.15,Makkah,30-39,1
F,Makkah,I46.9,Makkah,70-79,6
M,Jeddah,N17.9,Jeddah,60-69,44
M,Qunfotha,J90,Makkah,50-59,6
M,Jazan,D57.0,Jazan,00-17,2
M,Asir,Q71.41,Assir,00-17,6
M,Jazan,J96.19,Jazan,40-49,2
M,Makkah,S32.4,Makkah,70-79,6
M,Eastern Region,R65.1,East,80+,17
M,Jeddah,E10.11,Makkah,00-17,4
M,Riyadh,G35,Riyadh,40-49,1
M,Riyadh,P74.1,Riyadh,00-17,29
M,Jazan,R05,Jazan,00-17,14
M,Asir,I74.5,Assir,40-49,6
M,Jazan,G46.4,Assir,70-79,6
M,Jeddah,J96.00,Makkah,40-49,1
M,Qassim,N17.0,Qassim,60-69,3
M,Tabuk,S32.4,Medina,18-29,6
M,Asir,Z82.5,Assir,00-17,6
F,Asir,M00.86,Assir,50-59,1
M,Riyadh,I74.8,Riyadh,50-59,1
F,Medinah,I64,Medina,50-59,6
F,Jeddah,A48.0,Jeddah,50-59,21
F,Northern Borders,I24.9,Riyadh,60-69,31
M,Asir,G80.4,Assir,30-39,6
F,Jeddah,Q30.01,Jeddah,00-17,40
F,Riyadh,J96.09,Riyadh,80+,32
F,Riyadh,Z50.8,Riyadh,50-59,2
F,Jazan,J45.9,Jazan,40-49,2
M,Baha,V99,Assir,18-29,6
M,Qassim,I24.9,Qassim,00-17,3
M,Northern Borders,R57.2,Riyadh,60-69,33
F,Jazan,R57.2,Jazan,80+,2
M,Jazan,V99,Jazan,40-49,4
F,Medinah,I98.3,Medina,50-59,1
M,Bisha,M24.47,Riyadh,40-49,30
M,Riyadh,E11.65,Riyadh,80+,31
M,Makkah,I64,Jeddah,70-79,22
M,Makkah,I64,Makkah,40-49,24
M,Jeddah,J45.9,Makkah,00-17,11
F,Asir,O00.0,Assir,30-39,109
F,Asir,J20.9,Assir,00-17,126
F,Jeddah,R42,Makkah,80+,1
F,Jeddah,J39.9,Jeddah,40-49,19
M,Jeddah,R10.0,Jeddah,80+,22
F,Makkah,R05,Makkah,60-69,30
M,Medinah,R05,Riyadh,00-17,32
M,Jeddah,V21.02,Makkah,18-29,2
F,Jeddah,P59.0,Jeddah,30-39,20
F,Jeddah,J18.9,Makkah,00-17,16
F,Jeddah,J18.9,Makkah,80+,10
M,Qassim,R60.9,Qassim,80+,3
M,Riyadh,J15.9,Riyadh,50-59,64
M,Jeddah,J18.0,Jeddah,80+,27
F,Jeddah,P07.31,Makkah,00-17,6
F,Jeddah,S70.88,Jeddah,40-49,20
M,Jeddah,J44.1,Jeddah,50-59,41
F,Jeddah,R05,Jeddah,70-79,117
M,Najran,V99,Najran,18-29,4
M,Jeddah,E14.11,Jeddah,40-49,22
M,Qassim,K81.9,Qassim,80+,2
M,Riyadh,R05,Riyadh,50-59,95
M,Makkah,N17.9,Makkah,60-69,18
M,Asir,P59.2,Assir,00-17,5
F,Qassim,S06.03,Qassim,18-29,2
F,Jeddah,O43.8,Makkah,18-29,1
F,Jeddah,J90,Jeddah,60-69,20
F,Jeddah,E88.0,Makkah,18-29,1
M,Jeddah,I51.9,Jeddah,60-69,100
M,Jeddah,E11.11,Jeddah,70-79,67
F,Jeddah,I60.8,Makkah,18-29,1
F,Hail,Y71.1,Riyadh,00-17,3
M,Asir,P22.0,Assir,00-17,45
F,Asir,J18.9,Assir,00-17,284
F,Jeddah,S72.9,Jeddah,60-69,21
M,Tabuk,E11.11,Medina,70-79,7
F,Jazan,S72.8,Jazan,60-69,2
M,Medinah,U80.3,Medina,18-29,7
F,Asir,J18.0,Assir,18-29,6
M,Jazan,I95.8,Jazan,70-79,2
M,Asir,S72.43,Assir,00-17,12
F,Qassim,R57.2,Qassim,70-79,18
F,Jeddah,E11.15,Jeddah,50-59,22
F,Makkah,J18.9,Makkah,80+,48
M,Makkah,R57.2,Makkah,60-69,12
M,Makkah,I51.9,Jeddah,60-69,20
M,Jeddah,P22.8,Makkah,00-17,2
F,Northern Borders,J18.9,Riyadh,60-69,62
M,Riyadh,R06.6,Riyadh,00-17,96
F,Jeddah,I62.9,Jeddah,50-59,20
M,Jeddah,K92.2,Jeddah,00-17,41
M,Asir,U80.3,Assir,30-39,7
F,Riyadh,R10.0,Riyadh,40-49,62
M,Riyadh,C90.00,Riyadh,60-69,3
F,Medinah,J93.0,Medina,50-59,6
F,Jeddah,I20.0,Makkah,70-79,1
F,Jeddah,A41.9,Makkah,50-59,3
M,Jeddah,P70.1,Jeddah,00-17,21
M,Jouf,K90.4,Riyadh,00-17,31
M,Jeddah,E11.11,Makkah,30-39,1
F,Medinah,U82.3,Medina,30-39,7
M,Qassim,I46.0,Qassim,30-39,3
F,Bisha,R11,Jeddah,00-17,20
M,Jeddah,S09.9,Jeddah,00-17,20
F,Taif,K92.9,Makkah,70-79,1
M,Jeddah,N21.1,Makkah,30-39,1
F,Riyadh,N13.1,Riyadh,00-17,30
F,Asir,P07.31,Assir,00-17,27
F,Medinah,N17.9,Medina,50-59,6
M,Qassim,M48.42,Riyadh,50-59,30
M,Riyadh,S63.01,Riyadh,18-29,31
M,Jazan,S02.8,Assir,30-39,6
F,Riyadh,A85.8,Riyadh,50-59,1
F,Asir,J15.9,Assir,80+,1
F,Northern Borders,R05,Najran,00-17,3
M,Taif,S72.05,Jeddah,60-69,20
M,Asir,R51,Assir,00-17,6
F,Asir,G40.60,Assir,60-69,6
M,Jazan,T21.04,Asir,00-17,1
M,Medinah,E11.11,Medinah,60-69,1
F,Makkah,I74.8,Makkah,80+,6
M,Asir,S62.50,Assir,00-17,7
M,Medinah,I50.9,Medina,50-59,6
F,Qassim,I10,Qassim,70-79,3
M,Jeddah,R05,Jeddah,60-69,78
M,Jeddah,I64,Makkah,18-29,1
M,Asir,I21.9,Assir,40-49,6
F,Riyadh,N17.9,Riyadh,18-29,30
F,Makkah,G41.9,Makkah,70-79,6
F,Riyadh,S42.23,Riyadh,30-39,31
F,Najran,D69.3,Najran,00-17,3
M,Eastern Region,Z50.9,East,70-79,2
F,Riyadh,J45.9,Riyadh,40-49,30
M,Asir,S02.8,Assir,18-29,7
F,Jazan,I24.9,Jazan,50-59,2
F,Qunfotha,J96.09,Makkah,70-79,6
F,Asir,Z50.9,Jeddah,00-17,1
F,Riyadh,I69.4,Riyadh,18-29,1
F,Medinah,N18.9,Medina,80+,7
F,Riyadh,I26.9,Riyadh,60-69,32
F,Riyadh,G36.0,Riyadh,30-39,32
F,Tabuk,Q56.41,Tabuk,00-17,1
F,Asir,R57.2,Assir,18-29,6
M,Jazan,S72.05,Jazan,30-39,2
M,Jeddah,S01.88,Jeddah,00-17,24
F,Asir,G93.4,Assir,40-49,7
M,Medinah,T24.0,Medina,60-69,6
M,Jazan,M48.42,Assir,30-39,6
M,Riyadh,I46.0,Riyadh,00-17,1
M,Jeddah,J06.9,Makkah,00-17,1
F,Jeddah,R10.0,Jeddah,30-39,21
F,Asir,O00.0,Assir,18-29,42
F,Makkah,N18.5,Makkah,60-69,6
M,Makkah,K29.70,Makkah,00-17,6
F,Bisha,R05,Assir,00-17,6
M,Jeddah,I64,Jeddah,50-59,342
M,Jeddah,R56.8,Jeddah,00-17,17
M,Asir,J21.9,Assir,00-17,215
M,Qunfotha,I64,Makkah,80+,6
F,Qassim,I64,Qassim,60-69,9
F,Jeddah,J45.9,Jeddah,30-39,24
M,Jeddah,I26.9,Jeddah,40-49,22
F,Jeddah,O00.0,Makkah,18-29,6
F,Makkah,I21.9,Makkah,70-79,12
F,Tabuk,P07.31,Jeddah,00-17,20
M,Jeddah,P70.1,Makkah,00-17,1
M,Jeddah,N17.9,Jeddah,80+,60
F,Najran,U80.3,Najran,00-17,21
F,Qassim,A41.9,Qassim,00-17,11
M,Jeddah,J96.09,Makkah,80+,3
F,Najran,A41.9,Assir,00-17,6
M,Jeddah,J44.9,Jeddah,60-69,24
M,Riyadh,J18.0,Riyadh,80+,63
M,Makkah,N13.3,Makkah,00-17,20
F,Jazan,A40.8,Jazan,70-79,2
M,Makkah,P07.32,Jeddah,00-17,21
M,Qassim,R65.1,Qassim,80+,3
M,Jeddah,S06.4,Makkah,00-17,1
M,Jeddah,R05,Makkah,00-17,17
F,Riyadh,J96.01,Riyadh,00-17,34
M,Riyadh,P13.1,Riyadh,18-29,29
F,Jeddah,I46.0,Makkah,60-69,2
M,Asir,V99,Assir,30-39,24
F,Riyadh,I51.9,Riyadh,00-17,33
F,Baha,J18.9,Assir,50-59,7
M,Jeddah,S06.5,Makkah,00-17,1
F,Jeddah,E11.15,Makkah,50-59,1
F,Medinah,B35.4,Medina,00-17,6
F,Riyadh,G82.03,Riyadh,40-49,32
F,Medinah,I26.9,Medina,80+,13
M,Riyadh,D50.9,Riyadh,80+,31
M,Riyadh,J18.0,Riyadh,60-69,34
M,Riyadh,Z50.8,Riyadh,00-17,20
M,Riyadh,K52.8,Riyadh,00-17,33
F,Riyadh,D57.1,Riyadh,18-29,33
F,Medinah,A41.9,Medina,00-17,97
F,Tabuk,Q56.41,Medina,00-17,6
M,Jeddah,I21.9,Jeddah,60-69,250
F,Riyadh,J15.9,Riyadh,60-69,34
M,Eastern Region,A41.9,East,60-69,36
M,Jeddah,R05,Makkah,80+,3
M,Asir,S06.9,Assir,18-29,7
F,Bisha,R17,Assir,00-17,6
M,Jeddah,I24.9,Makkah,40-49,16
M,Jeddah,K92.9,Makkah,00-17,2
M,Jeddah,E11.11,Makkah,50-59,3
M,Jeddah,I46.0,Jeddah,70-79,2
M,Qassim,I21.9,Qassim,50-59,7
M,Outside-KSA,N18.9,Riyadh,70-79,31
F,Jeddah,K92.1,Makkah,70-79,1
M,Makkah,V99,Makkah,00-17,12
F,Jeddah,S72.9,Jeddah,70-79,21
F,Asir,I50.9,Assir,80+,19
M,Riyadh,R52.9,Riyadh,30-39,63
F,Riyadh,A87.1,Riyadh,00-17,32
M,Makkah,I51.9,Makkah,60-69,13
M,Jeddah,S72.9,Jeddah,80+,42
F,Riyadh,J44.1,Riyadh,60-69,32
M,Jeddah,Z50.9,Jeddah,60-69,2
M,Qunfotha,N23,Makkah,00-17,6
M,Jeddah,R05,Makkah,60-69,4
M,Jazan,A41.8,Jazan,60-69,2
F,Asir,P22.0,Assir,18-29,1
M,Qunfotha,E10.73,Makkah,50-59,6
M,Jeddah,K92.9,Jeddah,70-79,20
M,Riyadh,J18.0,Riyadh,70-79,66
M,Riyadh,I25.0,Riyadh,50-59,34
F,Medinah,K29.70,Medinah,00-17,1
F,Makkah,R05,Makkah,00-17,18
M,Riyadh,N21.9,Riyadh,60-69,31
M,Jazan,S83.0,Jazan,18-29,2
M,Qunfotha,S52.51,Makkah,18-29,7
F,Asir,I30.9,Assir,70-79,7
F,Medinah,S72.9,Medina,70-79,6
M,Jeddah,I21.9,Jeddah,18-29,19
F,Jazan,D57.0,Jazan,00-17,2
F,Asir,I21.9,Assir,60-69,6
M,Asir,I10,Assir,40-49,6
F,Jeddah,Z50.8,Jeddah,50-59,1
M,Medinah,K29.1,Medina,00-17,6
M,Riyadh,Z50.9,Riyadh,70-79,13
F,Qassim,E11.65,Qassim,70-79,3
M,Jeddah,J96.19,Makkah,70-79,1
F,Jazan,J15.9,Jazan,80+,2
M,Medinah,J18.9,Medinah,00-17,38
F,Asir,O09.9,Assir,18-29,1
M,Medinah,J18.9,Medinah,80+,2
M,Medinah,A38,Medina,00-17,6
F,Jeddah,N17.9,Jeddah,40-49,43
M,Medinah,P71.1,Medina,60-69,7
F,Asir,S42.29,Assir,60-69,7
M,Medinah,C18.9,Medina,60-69,1
M,Riyadh,I50.9,Riyadh,60-69,69
M,Qurayyat,U80.4,Riyadh,18-29,32
F,Riyadh,I51.9,Riyadh,80+,32
F,Qurayyat,I51.9,Riyadh,00-17,31
M,Jazan,N18.3,Jazan,70-79,2
M,Jeddah,M46.20,Makkah,80+,1
M,Jeddah,R57.8,Makkah,60-69,1
F,Riyadh,J44.9,Riyadh,70-79,1
F,Eastern Region,D34,East,18-29,1
M,Medinah,Z50.9,Jeddah,50-59,1
F,Medinah,A41.9,Medinah,80+,3
M,Asir,I21.9,Assir,70-79,6
M,Asir,U82.3,Assir,80+,6
F,Jeddah,J15.9,Makkah,70-79,1
F,Riyadh,S06.03,Riyadh,50-59,31
F,Riyadh,J44.0,Riyadh,50-59,1
M,Jazan,V99,Jazan,30-39,3
M,Jazan,J96.09,Jazan,70-79,2
M,Najran,M60.00,Najran,00-17,3
M,Jeddah,K76.9,Makkah,40-49,1
F,Riyadh,N17.9,Riyadh,80+,1
F,Riyadh,K59.0,Riyadh,80+,1
F,Jeddah,K41.0,Makkah,80+,1
F,Makkah,N18.9,Makkah,60-69,6
M,Riyadh,J21.0,Riyadh,00-17,32
F,Tabuk,A78,Medinah,80+,1
F,Jeddah,S82.81,Jeddah,70-79,22
M,Jeddah,A41.9,Makkah,18-29,2
M,Jeddah,G03.8,Jeddah,50-59,19
F,Qassim,U80.3,Qassim,18-29,5
M,Jeddah,R57.9,Makkah,00-17,1
F,Medinah,Z50.9,Riyadh,40-49,2
M,Jeddah,Z50.9,Riyadh,00-17,4
M,Asir,J80,Assir,00-17,7
M,Riyadh,S14.11,Riyadh,30-39,1
M,Jeddah,U80.4,Jeddah,18-29,1
F,Jazan,I48.9,Jazan,70-79,2
M,Jazan,R05,Jazan,40-49,2
F,Bisha,R17,Assir,60-69,6
M,Riyadh,M80.04,Riyadh,18-29,30
F,Riyadh,R10.0,Riyadh,70-79,2
